# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  2.884178579478553E-01  1.001100833188863E+01  8.233845088376998E+04  9.993172784036140E-01  1.595714172503686E-02  1.176376486542273E-01
  2.896758041258286E-01  1.001095225387617E+01  8.224622098853921E+04  9.993265240721100E-01  1.601817478339026E-02  1.186345365719303E-01
  2.909289997746863E-01  1.001089617428567E+01  8.215398805470516E+04  9.993357721784156E-01  1.607886943142872E-02  1.196314416904338E-01
  2.921775172911708E-01  1.001084004787453E+01  8.206175128217119E+04  9.993450272372384E-01  1.613923039047437E-02  1.206283755515819E-01
  2.934213725246266E-01  1.001078390201560E+01  8.196951372432765E+04  9.993542863526604E-01  1.619925935937322E-02  1.216253034570689E-01
  2.946606378315084E-01  1.001072768168425E+01  8.187727444281759E+04  9.993635550087161E-01  1.625896106559158E-02  1.226222390079894E-01
  2.958953607327012E-01  1.001067141540839E+01  8.178503626735481E+04  9.993728302902036E-01  1.631833679678805E-02  1.236191498932287E-01
  2.971256490365031E-01  1.001061504582699E+01  8.169279906995957E+04  9.993821180351178E-01  1.637739030259863E-02  1.246160411879782E-01
  2.983514544060634E-01  1.001055874036130E+01  8.160056527593244E+04  9.993914010474375E-01  1.643612262570599E-02  1.256128758661381E-01
  2.995732032201568E-01  1.001050232046701E+01  8.150830735078246E+04  9.994006987943604E-01  1.649455570906231E-02  1.266099620991028E-01
  3.007903388762599E-01  1.001044595709035E+01  8.141607044822929E+04  9.994099921029890E-01  1.655266352639731E-02  1.276068026826877E-01
  3.020032998720709E-01  1.001038947998870E+01  8.132382597509774E+04  9.994192995794379E-01  1.661046847397998E-02  1.286037164863582E-01
  3.032120806693772E-01  1.001033295672704E+01  8.123157772213967E+04  9.994286134533752E-01  1.666797100428774E-02  1.296006578713843E-01
  3.044166633527438E-01  1.001027640092152E+01  8.113933241788394E+04  9.994379326998629E-01  1.672516981699724E-02  1.305975538886782E-01
  3.056172344698805E-01  1.001021973921300E+01  8.104708485550963E+04  9.994472645430269E-01  1.678207128034675E-02  1.315944649333098E-01
  3.068136710653567E-01  1.001016306292641E+01  8.095484222660573E+04  9.994565998378505E-01  1.683867363093949E-02  1.325913080413704E-01
  3.080062602585343E-01  1.001010638676117E+01  8.086258579520440E+04  9.994659379482187E-01  1.689499127121348E-02  1.335882841584416E-01
  3.091948219838270E-01  1.001004966629921E+01  8.077033303463072E+04  9.994752824370446E-01  1.695101682716041E-02  1.345852077293125E-01
  3.103794615776471E-01  1.000999293581769E+01  8.067807906520752E+04  9.994846302121894E-01  1.700675605272407E-02  1.355821292883455E-01
  3.115602157972042E-01  1.000993612583375E+01  8.058582456513670E+04  9.994939879472817E-01  1.706221183865249E-02  1.365790455709184E-01
  3.127371774042982E-01  1.000987926294564E+01  8.049356697273967E+04  9.995033532127786E-01  1.711738828817263E-02  1.375759825958165E-01
  3.139103651010436E-01  1.000982232093806E+01  8.040131416226471E+04  9.995127283109340E-01  1.717228309480912E-02  1.385728571125354E-01
  3.150798130530511E-01  1.000976533510251E+01  8.030906040666639E+04  9.995221097678948E-01  1.722690217379698E-02  1.395697285352123E-01
  3.162456779281895E-01  1.000970840112662E+01  8.021679617183075E+04  9.995314889185166E-01  1.728125332389847E-02  1.405666941855407E-01
  3.174078123948003E-01  1.000965133130961E+01  8.012453666184036E+04  9.995408834893249E-01  1.733533131355153E-02  1.415636011964852E-01
  3.185663699076634E-01  1.000959430615448E+01  8.003227223873787E+04  9.995502761059195E-01  1.738914342555481E-02  1.425605428496406E-01
  3.197213252603536E-01  1.000953718742669E+01  7.994000822824379E+04  9.995596800524059E-01  1.744268988898324E-02  1.435574697062204E-01
  3.208727502245196E-01  1.000948002496947E+01  7.984774353556268E+04  9.995690905547295E-01  1.749597362700198E-02  1.445543907017752E-01
  3.220207139993999E-01  1.000942277471160E+01  7.975548148748640E+04  9.995785117211703E-01  1.754899500370398E-02  1.455512724436052E-01
  3.231652254738710E-01  1.000936548481325E+01  7.966321785756675E+04  9.995879391062402E-01  1.760175830907346E-02  1.465481577398205E-01
  3.243063909095649E-01  1.000930821203226E+01  7.957094670910909E+04  9.995973674627692E-01  1.765426902384868E-02  1.475451073863273E-01
  3.254441255066683E-01  1.000925088220870E+01  7.947867775847574E+04  9.996068035256572E-01  1.770652440657507E-02  1.485420208478306E-01
  3.265785520440462E-01  1.000919354853358E+01  7.938640364349334E+04  9.996162424273950E-01  1.775853067472422E-02  1.495389744477779E-01
  3.277096229892852E-01  1.000913613669344E+01  7.929413105880815E+04  9.996256912197239E-01  1.781028677015386E-02  1.505359002175528E-01
  3.288373898508671E-01  1.000907863608545E+01  7.920186126640973E+04  9.996351507575760E-01  1.786179433497962E-02  1.515327850222641E-01
  3.299620163158193E-01  1.000902109061014E+01  7.910958791307686E+04  9.996446170800937E-01  1.791305887013275E-02  1.525296948688915E-01
  3.310834066441274E-01  1.000896348269174E+01  7.901731560138125E+04  9.996540917346340E-01  1.796407950531768E-02  1.535265811454159E-01
  3.322016821973158E-01  1.000890592241282E+01  7.892503659999542E+04  9.996635644028531E-01  1.801486192306005E-02  1.545235212348829E-01
  3.333168260074130E-01  1.000884828778418E+01  7.883275495063046E+04  9.996730466636407E-01  1.806540663345042E-02  1.555204781203460E-01
  3.344288032567079E-01  1.000879061185051E+01  7.874047592242467E+04  9.996825351231068E-01  1.811571271921310E-02  1.565173932740525E-01
  3.355377778862026E-01  1.000873293143144E+01  7.864818821950190E+04  9.996920268070422E-01  1.816578818968892E-02  1.575143864494542E-01
  3.366435479079615E-01  1.000867505776666E+01  7.855591586700118E+04  9.997015387126612E-01  1.821562307540027E-02  1.585112086435930E-01
  3.377465044270218E-01  1.000861728765835E+01  7.846362997209418E+04  9.997110443079923E-01  1.826523351610174E-02  1.595081559495745E-01
  3.388463832067226E-01  1.000855930516155E+01  7.837135058989197E+04  9.997205714314454E-01  1.831461212708642E-02  1.605050278289268E-01
  3.399433966991305E-01  1.000850172599971E+01  7.827906099092067E+04  9.997300616097812E-01  1.836376614315112E-02  1.615019728939212E-01
  3.410376482231001E-01  1.000844355754005E+01  7.818675665944573E+04  9.997396134667635E-01  1.841270458953216E-02  1.624990920984094E-01
  3.421290729310804E-01  1.000838555198069E+01  7.809444358942797E+04  9.997491516798120E-01  1.846142237345424E-02  1.634962810042835E-01
  3.432167824722238E-01  1.000832771184233E+01  7.800219888488740E+04  9.997586728935995E-01  1.850988114811227E-02  1.644927093874816E-01
  3.443023146036761E-01  1.000826942684372E+01  7.790990325456980E+04  9.997682422664815E-01  1.855814810034543E-02  1.654896932749888E-01
  3.453849430053300E-01  1.000821118526795E+01  7.781761676485489E+04  9.997778106016113E-01  1.860619137919953E-02  1.664865613247405E-01
  3.464648005892585E-01  1.000815295560874E+01  7.772532719836118E+04  9.997873778694703E-01  1.865401909898468E-02  1.674834448756947E-01
  3.475419994741850E-01  1.000809481471658E+01  7.763302690820181E+04  9.997969405610738E-01  1.870163672444125E-02  1.684804243839124E-01
  3.486163984597115E-01  1.000803650669743E+01  7.754073025482422E+04  9.998065213487477E-01  1.874903911087498E-02  1.694773571522575E-01
  3.496881353546384E-01  1.000797825820765E+01  7.744842711100492E+04  9.998160991696526E-01  1.879623189469514E-02  1.704743412277320E-01
  3.507570955943156E-01  1.000791988664044E+01  7.735612948705278E+04  9.998256910124413E-01  1.884321152002475E-02  1.714712561535312E-01
  3.518234538940801E-01  1.000786139229255E+01  7.726383486105582E+04  9.998352970323606E-01  1.888998097497917E-02  1.724681290184020E-01
  3.528871946441688E-01  1.000780292059862E+01  7.717153789058090E+04  9.998449033009047E-01  1.893654393783533E-02  1.734650101983507E-01
  3.539483547280977E-01  1.000774438726740E+01  7.707923683335098E+04  9.998545181482088E-01  1.898290329646602E-02  1.744619226394687E-01
  3.550069639589857E-01  1.000768589858262E+01  7.698693077758326E+04  9.998641311852580E-01  1.902906060105147E-02  1.754588709780259E-01
  3.560630264483312E-01  1.000762733842851E+01  7.689462124316441E+04  9.998737537141489E-01  1.907501720636758E-02  1.764558444674143E-01
  3.571164694198415E-01  1.000756871301043E+01  7.680231636578756E+04  9.998833847336662E-01  1.912077019793207E-02  1.774527551347712E-01
  3.581674799814619E-01  1.000751000632532E+01  7.671000475290109E+04  9.998930264195870E-01  1.916632634198361E-02  1.784497264580512E-01
